Nama,Berat,Dimensi,Garansi,VGA,Tipe Penyimpanan,Processor,Penyimpanan,Ukuran Layar,Warna,RAM,Keyboard,Microsoft Office,Sistem Operasi,Brand,Tipe Layar,Harga
MSI GF63 THIN 12VE INTEL I7 12650H 16GB 512GB RTX4050-6GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4050,SSD,Intel Core i7,512GB,16 Inch,Black,16GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp17.199.000
MSI GF63 THIN 12VE INTEL I7 12650H 16GB 512GB GTX4050-6GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA GTX4050,SSD,Intel Core i7,512GB,16 Inch,Black,16GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp15.799.000
MSI GF63 THIN 12VE INTEL I7 12650H 16GB 1TB SSD RTX4050-6GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4050,SSD,Intel Core i7,1TB,16 Inch,Black,16GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp17.599.000
MSI GF63 THIN 12VE INTEL I7 12650H 16GB 1TB SSD GTX4050-6GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA GTX4050,SSD,Intel Core i7,1TB,16 Inch,Black,16GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp16.199.000
MSI GF63 THIN 12VE INTEL I7 12650H 16GB 1TB GTX4050-6GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4050,SSD,Intel Core i7,1TB,16 Inch,Black,16GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp16.199.000
MSI GF63 THIN 12VE INTEL I5 12450H 16GB 512GB RTX4050-6GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4050,SSD,Intel Core i5,512GB,16 Inch,Black,16GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp14.799.000
MSI GF63 THIN 12VE INTEL I5 12450H 16GB 512GB GTX4060-8GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA GTX4060,SSD,Intel Core i5,512GB,16 Inch,Black,8GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp15.899.000
MSI GF63 THIN 12VE INTEL I5 12450H 16GB 512GB GTX4050-6GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA GTX4060,SSD,Intel Core i5,512GB,16 Inch,Black,16GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp13.999.000
MSI GF63 THIN 12VE INTEL I5 12450H 16GB 1TB SSD RTX4050-6GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4050,SSD,Intel Core i5,1TB,16 Inch,Black,16GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp15.299.000
MSI GF63 THIN 12VE INTEL I5 12450H 16GB 1TB SSD GTX4060-8GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA GTX4060,SSD,Intel Core i5,1TB,16 Inch,Black,8GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp16.399.000
MSI GF63 THIN 12VE INTEL I5 12450H 16GB 1TB SSD GTX4050-6GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA GTX4050,SSD,Intel Core i5,1TB,16 Inch,Black,16GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp14.499.000
